step,train_loss,train_acc,dev_loss,dev_acc
0,35.14651107788086,0.186,26.424779891967773,0.18942857142857142
100,24.60096549987793,0.19525,22.268465042114258,0.19657142857142856
200,18.884281158447266,0.19225,19.521677017211914,0.2022857142857143
300,16.86606216430664,0.216,17.400753021240234,0.21157142857142858
400,16.292133331298828,0.22875,15.586152076721191,0.2307142857142857
500,8.106340408325195,0.24525,14.113064765930176,0.25342857142857145
600,11.626315116882324,0.27,12.924019813537598,0.276
700,10.386015892028809,0.28825,11.882462501525879,0.29628571428571426
800,8.994216918945312,0.311,10.96461296081543,0.31957142857142856
900,7.17946720123291,0.32525,10.142658233642578,0.3392857142857143
1000,5.3708577156066895,0.3495,9.460948944091797,0.3597142857142857
1100,7.370550632476807,0.36975,8.869878768920898,0.37757142857142856
1200,11.066140174865723,0.4025,8.356440544128418,0.3965714285714286
1300,6.6729021072387695,0.41225,7.923583507537842,0.4147142857142857
1400,10.05362319946289,0.4325,7.537505626678467,0.43242857142857144
