step,train_loss,train_acc,dev_loss,dev_acc
0,2.3025732040405273,0.15875,2.306281328201294,0.166
100,0.9132813215255737,0.733,0.7464898824691772,0.7501428571428571
200,0.5243534445762634,0.80175,0.5654636025428772,0.8062857142857143
300,0.3487728536128998,0.83725,0.4794631004333496,0.8305714285714285
400,0.3924776017665863,0.842,0.4531407952308655,0.8331428571428572
500,0.6061943173408508,0.85425,0.43006905913352966,0.8484285714285714
600,0.6498785614967346,0.849,0.42491814494132996,0.8427142857142857
700,0.2798478901386261,0.861,0.40525445342063904,0.8532857142857143
800,0.34484410285949707,0.8725,0.3937024772167206,0.8592857142857143
900,0.45281267166137695,0.86425,0.3814880847930908,0.8582857142857143
1000,0.47043555974960327,0.86775,0.36515018343925476,0.8662857142857143
1100,0.37606269121170044,0.87175,0.3654285669326782,0.8688571428571429
1200,0.3746603727340698,0.88375,0.350048303604126,0.8748571428571429
1300,0.31477099657058716,0.86625,0.35413360595703125,0.8727142857142857
1400,0.2679719030857086,0.873,0.34439367055892944,0.8748571428571429
